iter	Passed	Remaining
0	2	286
1	4	244
2	6	223
3	8	207
4	10	207
5	12	202
6	15	199
7	17	196
8	19	193
9	21	189
10	23	186
11	24	183
12	27	183
13	29	181
14	31	178
15	33	175
16	35	171
17	36	168
18	38	165
19	40	163
20	42	160
21	45	160
22	47	159
23	49	156
24	51	155
25	53	152
26	55	150
27	57	148
28	59	146
29	61	144
30	63	141
31	65	139
32	67	136
33	69	134
34	71	132
35	73	130
36	75	127
37	76	125
38	78	123
39	80	121
40	82	118
41	83	114
42	85	112
43	87	110
44	88	108
45	90	105
46	91	103
47	93	101
48	95	99
49	96	96
50	98	94
51	100	92
52	102	90
53	103	88
54	104	85
55	106	83
56	108	81
57	109	79
58	111	77
59	113	75
60	115	73
61	117	71
62	118	69
63	120	67
64	122	65
65	124	63
66	125	61
67	127	60
68	129	58
69	131	56
70	133	54
71	135	52
72	137	50
73	139	48
74	140	46
75	142	44
76	144	43
77	145	41
78	147	39
79	148	37
80	150	35
81	152	33
82	153	31
83	155	29
84	157	27
85	158	25
86	160	23
87	161	22
88	162	20
89	164	18
90	165	16
91	166	14
92	168	12
93	169	10
94	170	8
95	171	7
96	172	5
97	173	3
98	174	1
99	175	0
