iter	Passed	Remaining
0	304	304547
1	311	155529
2	322	107070
3	325	81101
4	330	65814
5	335	55628
6	345	49044
7	348	43274
8	361	39768
9	365	36228
10	369	33185
11	375	30936
12	378	28767
13	383	27042
14	391	25707
15	397	24424
16	402	23302
17	407	22212
18	410	21219
19	417	20463
20	421	19636
21	425	18916
22	430	18267
23	434	17652
24	441	17222
25	480	18016
26	498	17947
27	504	17504
28	523	17530
29	527	17050
30	531	16615
31	536	16215
32	540	15835
33	544	15480
34	555	15325
35	563	15097
36	571	14868
37	575	14563
38	580	14292
39	585	14049
40	589	13797
41	593	13534
42	605	13483
43	609	13250
44	614	13051
45	619	12845
46	623	12637
47	627	12436
48	635	12329
49	644	12242
50	648	12076
51	655	11955
52	660	11793
53	666	11684
54	672	11548
55	676	11401
56	685	11341
57	692	11250
58	703	11220
59	708	11102
60	711	10959
61	717	10857
62	723	10758
63	726	10632
64	731	10520
65	735	10403
66	738	10285
67	741	10165
68	752	10157
69	756	10051
70	760	9954
71	763	9844
72	767	9740
73	769	9632
74	772	9529
75	777	9452
76	780	9357
77	783	9265
78	786	9173
79	792	9111
80	797	9047
81	801	8968
82	802	8869
83	809	8826
84	812	8747
85	816	8676
86	822	8634
87	826	8561
88	829	8489
89	832	8422
90	837	8362
91	841	8307
92	845	8246
93	851	8203
94	856	8157
95	859	8095
96	862	8032
97	869	8007
98	873	7952
99	878	7910
100	885	7878
101	890	7843
102	896	7811
103	900	7759
104	904	7707
105	907	7657
106	913	7627
107	917	7579
108	921	7531
109	928	7513
110	943	7552
111	946	7503
112	950	7460
113	961	7472
114	966	7438
115	972	7412
116	975	7364
117	979	7323
118	983	7280
119	990	7263
120	993	7220
121	996	7171
122	1004	7163
123	1009	7128
124	1011	7083
125	1016	7052
126	1019	7007
127	1022	6967
128	1026	6933
129	1035	6929
130	1038	6891
131	1042	6853
132	1049	6841
133	1052	6804
134	1056	6770
135	1059	6732
136	1068	6728
137	1071	6694
138	1075	6660
139	1085	6667
140	1088	6632
141	1090	6590
142	1098	6585
143	1104	6565
144	1116	6584
145	1120	6554
146	1132	6573
147	1137	6545
148	1151	6578
149	1161	6582
150	1168	6569
151	1174	6554
152	1178	6525
153	1182	6496
154	1187	6472
155	1193	6455
156	1197	6427
157	1200	6398
158	1210	6400
159	1214	6373
160	1219	6357
161	1225	6337
162	1228	6309
163	1238	6310
164	1242	6287
165	1245	6259
166	1252	6245
167	1255	6218
168	1261	6202
169	1270	6201
170	1274	6176
171	1277	6151
172	1283	6136
173	1286	6108
174	1290	6085
175	1295	6063
176	1299	6041
177	1302	6013
178	1305	5987
179	1309	5963
180	1312	5940
181	1316	5917
182	1319	5890
183	1326	5883
184	1333	5875
185	1340	5864
186	1343	5840
187	1347	5819
188	1351	5797
189	1355	5778
190	1359	5756
191	1362	5734
192	1366	5714
193	1371	5699
194	1375	5678
195	1378	5655
196	1388	5658
197	1394	5646
198	1397	5626
199	1401	5607
200	1405	5588
201	1409	5567
202	1416	5562
203	1421	5546
204	1424	5525
205	1429	5511
206	1433	5491
207	1436	5471
208	1440	5450
209	1445	5437
210	1449	5418
211	1452	5397
212	1455	5376
213	1459	5362
214	1463	5342
215	1466	5322
216	1469	5301
217	1471	5278
218	1477	5267
219	1480	5248
220	1483	5228
221	1486	5210
222	1491	5197
223	1494	5178
224	1497	5158
225	1501	5140
226	1506	5129
227	1509	5110
228	1512	5093
229	1516	5078
230	1523	5072
231	1528	5058
232	1532	5045
233	1538	5036
234	1542	5019
235	1545	5003
236	1549	4987
237	1554	4978
238	1558	4962
239	1562	4946
240	1568	4940
241	1571	4923
242	1575	4907
243	1580	4896
244	1584	4881
245	1587	4864
246	1590	4849
247	1597	4845
248	1601	4828
249	1605	4816
250	1610	4804
251	1613	4789
252	1617	4774
253	1628	4783
254	1631	4767
255	1634	4750
256	1638	4737
257	1643	4725
258	1646	4710
259	1649	4693
260	1658	4695
261	1661	4679
262	1663	4662
263	1667	4647
264	1670	4632
265	1674	4620
266	1677	4604
267	1680	4588
268	1685	4580
269	1689	4567
270	1692	4552
271	1695	4538
272	1699	4525
273	1704	4516
274	1707	4501
275	1712	4491
276	1717	4482
277	1720	4468
278	1723	4453
279	1727	4441
280	1732	4433
281	1735	4418
282	1738	4405
283	1741	4390
284	1747	4384
